"bestand","pagina"
"https://www.duo.nl/open_onderwijsdata/images/02.-leerlingen-so-swv-betalend%2C-onderscheid-rp-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-2.jsp"
"https://www.duo.nl/open_onderwijsdata/images/02.leerlingen-bo-swv-vestiging%2C-gewicht%2C-impulsgebied%2C-schoolgewicht-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-gewicht-impuls.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-alle-vestigingen-basisonderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-bevoegde-gezagen-vo.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/adressen/adressen-vo-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-bo-sbo-leerjaar%2C-geslacht-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-leerjaar.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-bo-sbo-leerjaar%2C-geslacht-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-leerjaar.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-bo-sbo-leerjaar%2C-geslacht-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-leerjaar.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-bo-sbo-swv-vestiging%2C-leerjaar%2C-geslacht-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-leerjaar.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-po-totaaloverzicht-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/Leerlingen-po-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-po-totaaloverzicht-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/Leerlingen-po-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-po-totaaloverzicht-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/Leerlingen-po-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-po-totaaloverzicht-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/Leerlingen-po-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-so-swv-betalend%2C-swv-woonachtig-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-so-swv-betalend%2C-swv-woonachtig-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-vo-per-vestiging-en-bestuur-(vavo-apart)-2011.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-vo-per-vestiging-en-bestuur-(vavo-apart)-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-vo-per-vestiging-en-bestuur-(vavo-apart)-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-3.jsp"
